inventory_id,store_unit,item_number,active_flag,id,item_number_str,item_desc
41804149,13134,41272,0,41804149,41272,RANGE GAS  S I
41804699,13134,102882,0,41804699,102882,96882 7 5  SAM CF FL DRYE
41804701,13134,102882,0,41804701,102882,96882 7 5  SAM CF FL DRYE
41804789,17346,93423,0,41804789,93423,7 2 CU FT  LG DOUBLE OVEN
41805663,13185,16153,0,41805663,16153,GE STAINLE GE SS STEEL IN
41805811,13185,32183,0,41805811,32183,WRM DRW ICON
41805813,13185,32183,0,41805813,32183,WRM DRW ICON
41805841,13185,51223,0,41805841,51223,WARM DRW 27  
41805843,13185,51233,0,41805843,51233,WRM DRAWER 30 
41805859,13185,58363,0,41805859,58363,CHIM HOOD 36  370 CFM SS
41805861,13185,59273,0,41805861,59273,30IN HOOD 
41805865,13185,63078,0,41805865,63078,HOOD LINER 
41805873,13185,65163,0,41805873,65163,RNG HOOD 36  WP SS
41806711,13185,9650,0,41806711,9650,ARCH2 UC REF SS DOOR LH
41807259,17412,31623,0,41807259,31623,FDR 30  SWO
41807287,17412,86777,0,41807287,86777,OTL SP HOOD WP
41809043,13333,48522,0,41809043,48522,WHITE RANG E  SLIDE DROP
41809299,13333,87942,0,41809299,87942,81942 KM  KENMORE 24 IN
41810279,13345,51223,0,41810279,51223,WARM DRW 27  
41810283,13345,51223,0,41810283,51223,WARM DRW 27  
41810865,13526,48509,0,41810865,48509,ELECTRIC D ROP IN RANGE
41810867,13526,48522,0,41810867,48522,WHITE RANG E  SLIDE DROP
41812283,13598,54352,0,41812283,54352,30 ELITE S KME WO
41815205,13621,48509,0,41815205,48509,ELECTRIC D ROP IN RANGE
41815289,13621,82927,0,41815289,82927,OTL FS RNG
41815291,13621,82927,0,41815291,82927,OTL FS RNG
41819233,13989,17725,0,41819233,17725,OTL SP DSW GE DISHWASHER
41819241,13989,18833,0,41819241,18833,KME DISH 2 KME 013
41819403,13989,48563,0,41819403,48563,RANGE SLID KME E IN DROP
41819499,13989,86269,0,41819499,86269,JAIRBIMICR
41820509,14233,16153,0,41820509,16153,GE STAINLE GE SS STEEL IN
41820517,14233,16303,0,41820517,16303,DISHWASHER GE
41820591,14233,23517,0,41820591,23517,SAMSUNG DI SAM SHWASHER
41820593,14233,23517,0,41820593,23517,SAMSUNG DI SAM SHWASHER
41822809,15052,20715,0,41822809,20715,KENMORE EL KME ITE DISH P
41823353,16359,18789,0,41823353,18789,KEN DISH KME BI BLACK
41823435,16359,48509,0,41823435,48509,ELECTRIC D ROP IN RANGE
41823541,16359,82927,0,41823541,82927,OTL FS RNG
41823543,16359,82927,0,41823543,82927,OTL FS RNG
41823903,16359,100132,0,41823903,100132,KE 94132 W 
41823905,16359,100132,0,41823905,100132,KE 94132 W 
41823907,16359,100132,0,41823907,100132,KE 94132 W 
41825361,16487,17725,0,41825361,17725,OTL SP DSW GE DISHWASHER
41825465,16487,49983,0,41825465,49983,FDG  GSLIDE
41826501,16533,62783,0,41826501,62783,JA 32 HOOD SS
41829021,16593,8359,0,41829021,8359,TRIM KIT 27  BSH BLK
41829329,16593,87942,0,41829329,87942,81942 KM  KENMORE 24 IN
41829331,16593,87942,0,41829331,87942,81942 KM  KENMORE 24 IN
41829931,16601,94403,0,41829931,94403,EWMED70JSS 
41830791,16604,78472,0,41830791,78472,WHIRLPOOL GAS DRYER WHITE
41830793,16604,80352,0,41830793,80352,GTD65GBSJW S GE  GE GAS
41830811,16604,83202,0,41830811,83202,HETL GAS  DRYER
41831923,16633,63633,0,41831923,63633,36IN RANGE  HOOD
41833163,16920,65453,0,41833163,65453,GE  CAFE 36 HOOD
41836449,18284,57423,0,41836449,57423,HOOD SHELL 18 X 42  SS
41836471,18284,62763,0,41836471,62763,JAIRHOODS
41836473,18284,63023,0,41836473,63023,36IN CANPY  HD ESTAR
41837417,18603,41102,0,41837417,41102,WF520ABW  WASHER WHITE
41837543,18603,72585,0,41837543,72585,DV50K8600E V SAM  SAMSUNG
41837553,18603,72585,0,41837553,72585,DV50K8600E V SAM  SAMSUNG
41837649,18603,89762,0,41837649,89762,MT MED60XW  EL DRYER WHIT
41839863,18849,16443,0,41839863,16443,GE DISHWAS GE HER BOTTLEJ
41839867,18849,16483,0,41839867,16483,DW THIRD R GE  BOTTLE WAS
41840017,18849,29622,0,41840017,29622,30 IN CKTO P
41840079,18849,62783,0,41840079,62783,JA 32 HOOD SS
41840087,18849,63633,0,41840087,63633,36IN RANGE  HOOD
41871109,13038,24652,0,41871109,24652,WHP DISH W HITEDISH
41880929,16633,102902,0,41880929,102902,DVG60M9900 W SAM  FLEXDRY
41931963,13073,64173,0,41931963,64173,KME HOOD SS
42004389,13068,20812,0,42004389,20812,WH KENMORE KME  ELITE THI
42047671,16601,86937,0,42047671,86937,OTL SP HOOD WP
42084581,18603,58614,0,42084581,58614,KM HOOD30  210 230CFM BIS
42157865,16601,26419,0,42157865,26419,36 GAS CT 
42157869,16601,26419,0,42157869,26419,36 GAS CT 
42157871,16601,26419,0,42157871,26419,36 GAS CT 
42157881,16601,26419,0,42157881,26419,36 GAS CT 
42188177,13595,81123,0,42188177,81123,30IN GAS S KM LIDE IN
42223565,13185,61773,0,42223565,61773,36SSRH10H REMOTE BLOWER
42448619,17412,25333,0,42448619,25333,MAY DISH S TAINLESS FP RE
42470067,13526,54003,0,42470067,54003,KPRO 30 WD
42474007,13962,8603,0,42474007,8603,EMA BI WC 
42694131,13595,45283,0,42694131,45283,30IN GAS   SI
42700427,16349,68862,0,42700427,68862,30IN FS  ELEC RANGE ADA
42732487,13595,82915,0,42732487,82915,DVG54M8750 V SAM  GAS DRY
42794557,13185,63078,0,42794557,63078,HOOD LINER 
42814525,17470,104932,0,42814525,104932,EFMG617SIW  EMA GAS
42815441,13526,26169,0,42815441,26169,DI RANGE WHIRLPOOL
42815443,13526,26169,0,42815443,26169,DI RANGE WHIRLPOOL
42815447,13526,26169,0,42815447,26169,DI RANGE WHIRLPOOL
42815455,13526,26169,0,42815455,26169,DI RANGE WHIRLPOOL
42833081,13032,82582,0,42833081,82582,DV50K8600G W SAM  SAMSUNG
42834747,13526,26169,0,42834747,26169,DI RANGE WHIRLPOOL
42902403,16561,88732,0,42902403,88732,WED92HEFW  WHIRLPOOL
42997957,18888,17725,0,42997957,17725,OTL SP DSW GE DISHWASHER
43094639,17495,12642,0,43094639,12642,DHICH 
43095487,13595,36323,0,43095487,36323,GE  SLIDE IN
43104501,16593,55212,0,43104501,55212,WALL OVEN 30 KM ELITE
43104503,16593,55212,0,43104503,55212,WALL OVEN 30 KM ELITE
43114983,13073,42463,0,43114983,42463,36IN GE WA GE LL MT CHIMN
43127647,18603,26419,0,43127647,26419,36 GAS CT 
43127649,18603,26419,0,43127649,26419,36 GAS CT 
43127651,18603,26419,0,43127651,26419,36 GAS CT 
43127655,18603,26419,0,43127655,26419,36 GAS CT 
43263247,13076,88730,0,43263247,88730,WED92HEFU  WHIRLPOOL
43298367,18849,16483,0,43298367,16483,DW THIRD R GE  BOTTLE WAS
43327559,13134,78042,0,43327559,78042,KME CD  WH TRIO
43338097,18229,87942,0,43338097,87942,81942 KM  KENMORE 24 IN
43348309,13015,49962,0,43348309,49962,FDG  GSLIDE
43348993,13025,8556,0,43348993,8556,30 PREF HOOD GLASS BK
43349057,13025,17663,0,43349057,17663,24 INCH ICON DW
43349195,13025,63643,0,43349195,63643,36IN RANGE  HOOD
43354621,13134,81233,0,43354621,81233,GAS SC  RANGE
43354661,13134,91663,0,43354661,91663,5 8CF FSR 
43354911,17346,17725,0,43354911,17725,OTL SP DSW GE DISHWASHER
43355055,17346,88683,0,43355055,88683,FRONT CONT ROL GAS RANGE
43357115,13324,55180,0,43357115,55180,LG 28 CFSS 
43357499,13324,95063,0,43357499,95063,LG 24CF FD LG BM CD
43359525,13333,57713,0,43359525,57713,KME 23CF C KME D SXS
43360649,13345,81339,0,43360649,81339,GAS SC  RANGE
43361465,17487,64100,0,43361465,64100,FLUE EXTENS F RNG HOOD SS
43362957,17495,81343,0,43362957,81343,GAS SC  RANGE
43363107,17495,14383,0,43363107,14383,27 7 CU FT  EVAPS  A
43363139,17495,14997,0,43363139,14997,24 CU FT   LG COUNTER DEP
43363199,17495,57713,0,43363199,57713,KME 23CF C KME D SXS
43363233,17495,78383,0,43363233,78383,26 2 CF  4DR KM
43363281,17495,80043,0,43363281,80043,KME 24CF B M CD
43363283,17495,80093,0,43363283,80093,KME 32CF B M I W
43363399,17495,88023,0,43363399,88023,FDR  3DOOR  26 CU FT SS
43363415,17495,88063,0,43363415,88063,SAMS 23CF SAM 2DR CD
43363437,17495,88093,0,43363437,88093,SAMS 28CF SAM SAM
43363439,17495,88093,0,43363439,88093,SAMS 28CF SAM SAM
43363465,17495,89093,0,43363465,89093,SAMS 28CF  FDBM GNG
43363467,17495,89093,0,43363467,89093,SAMS 28CF  FDBM GNG
43364189,13526,14997,0,43364189,14997,24 CU FT   LG COUNTER DEP
43364533,13526,86949,0,43364533,86949,SAMS 28CF SAM SAM
43365511,13598,70423,0,43365511,70423,ELUX G SI
43366233,13601,70043,0,43366233,70043,GAS SIR 
43366285,13601,82927,0,43366285,82927,OTL FS RNG
43366295,13601,82927,0,43366295,82927,OTL FS RNG
43366297,13601,82927,0,43366297,82927,OTL FS RNG
43372035,13824,21055,0,43372035,21055,S3RERB  LG STYLER ESPRESS
43373373,13958,48763,0,43373373,48763,SS RANGE KME  SLIDE DROP
43374235,13989,38632,0,43374235,38632,WHITE  RAN KME GE  SLIDE
43374275,13989,70043,0,43374275,70043,GAS SIR 
43374287,13989,70423,0,43374287,70423,ELUX G SI
43374289,13989,70443,0,43374289,70443,ELUX DF SI
43374293,13989,70473,0,43374293,70473,ELUXGAS SLDN
43374295,13989,70483,0,43374295,70483,ELUXDFSLDN 
43374343,13989,82927,0,43374343,82927,OTL FS RNG
43374345,13989,82927,0,43374345,82927,OTL FS RNG
43374369,13989,84509,0,43374369,84509,ELTGASRANG 
43389827,16633,66213,0,43389827,66213,PROFILE DU EL FUEL WIFI
43390679,16818,16523,0,43390679,16523,PROFILE DW GE  TC 42 DBAE
43393789,18284,36663,0,43393789,36663,GAS RANGE GE
43395505,18696,38643,0,43395505,38643,SS  RANGE  KME  SLIDE DR
43398023,18849,38643,0,43398023,38643,SS  RANGE  KME  SLIDE DR
43398117,18849,81343,0,43398117,81343,GAS SC  RANGE
43398121,18849,84502,0,43398121,84502,ELTGASRANG 
43398169,18849,93357,0,43398169,93357,6 3 CU FT  LG  GAS SLIDE 
43400717,18974,71902,0,43400717,71902,5 0CF SELF  CL
43400751,18974,81343,0,43400751,81343,GAS SC  RANGE
43419555,13038,82927,0,43419555,82927,OTL FS RNG
43423257,13119,42473,0,43423257,42473,36IN GE IS GE LAND MT CHI
43424537,13324,32183,0,43424537,32183,WRM DRW ICON
43424581,13324,38632,0,43424581,38632,WHITE  RAN KME GE  SLIDE
43424589,13324,48502,0,43424589,48502,ELECTRIC D ROP IN RANGE
43424607,13324,55990,0,43424607,55990,KM WRM DWR KME
43425505,13324,95063,0,43425505,95063,LG 24CF FD LG BM CD
43429605,13526,48753,0,43429605,48753,SS RANGE KME SLIDE DROP
43429835,13526,88093,0,43429835,88093,SAMS 28CF SAM SAM
43434187,13958,20743,0,43434187,20743,KME DISH B KME I STAINLES
43434281,13958,48509,0,43434281,48509,ELECTRIC D ROP IN RANGE
43434337,13958,63023,0,43434337,63023,36IN CANPY  HD ESTAR
43435131,13962,63653,0,43435131,63653,36IN RANGE  HOOD
43435297,13994,56303,0,43435297,56303,CHIM HOOD 30  270 CFM SS
43435827,13994,97783,0,43435827,97783,91783 KME  KME GAS DRYER
43439849,16359,67623,0,43439849,67623,PROFILE GA S CHEF CONNECT
43443319,16659,48509,0,43443319,48509,ELECTRIC D ROP IN RANGE
43443439,16659,82927,0,43443439,82927,OTL FS RNG
43443443,16659,82927,0,43443443,82927,OTL FS RNG
43599313,14233,63013,0,43599313,63013,30IN CANPY  HD ESTAR
43637579,13068,81233,0,43637579,81233,GAS SC  RANGE
43725057,14233,62313,0,43725057,62313,36IN WALL  CANOPY
43743821,13595,104935,0,43743821,104935,EFMG617STT  EMA GAS
43743829,13595,57133,0,43743829,57133,DISPENSING  27CF SXS
43751149,16533,102885,0,43751149,102885,DV50K7500G V SAM  SAMSUNG
43802009,13058,17725,0,43802009,17725,OTL SP DSW GE DISHWASHER
43845323,13038,17725,0,43845323,17725,OTL SP DSW GE DISHWASHER
43845515,17234,17725,0,43845515,17725,OTL SP DSW GE DISHWASHER
43935499,13595,48522,0,43935499,48522,WHITE RANG E  SLIDE DROP
43949073,18974,82585,0,43949073,82585,DV50K8600G V SAM  SAMSUNG
43949075,18974,82585,0,43949075,82585,DV50K8600G V SAM  SAMSUNG
44022453,16450,54353,0,44022453,54353,30 ELITE S KME WO
44184827,16604,82482,0,44184827,82482,DV52J8700G W SAM  SAMSUNG
44231139,13526,48509,0,44231139,48509,ELECTRIC D ROP IN RANGE
44337547,14230,98583,0,44337547,98583,30 EL FCFS KMP KMP
44366383,18111,87942,0,44366383,87942,81942 KM  KENMORE 24 IN
44478633,18974,97782,0,44478633,97782,91782 KME  KME GAS DRYER
44601997,18150,17285,0,44601997,17285,OLT SP DIS HWWP DISHWASHR
44629657,13989,57993,0,44629657,57993,51993 KME  KENMORE PEDES
44734867,13684,81353,0,44734867,81353,GAS SC  RANGE
44768169,13038,16483,0,44768169,16483,DW THIRD R GE  BOTTLE WAS
44779791,16359,17725,0,44779791,17725,OTL SP DSW GE DISHWASHER
45438163,13076,61973,0,45438163,61973,WD100CV LG  LG 27 IN PE
45660985,16561,82927,0,45660985,82927,OTL FS RNG
45845137,17346,21313,0,45845137,21313,24 INCH DW ELECTROLUX
46431507,13684,73617,0,46431507,73617,LG GAS SLI LG DE IN
46726971,16659,82927,0,46726971,82927,OTL FS RNG
46726973,16659,82927,0,46726973,82927,OTL FS RNG
48074109,13595,104425,0,48074109,104425,EIMGD60LT  ELECTROLUX GAS
48259769,18974,101095,0,48259769,101095,95095 9 0  CU FT LG  ULT
49006219,13076,89093,0,49006219,89093,SAMS 28CF  FDBM GNG
49187937,14060,38312,0,49187937,38312,KME36GASCT 
49450391,13684,17725,0,49450391,17725,OTL SP DSW GE DISHWASHER
50224275,13076,102902,0,50224275,102902,DVG60M9900 W SAM  FLEXDRY
51271063,13794,91582,0,51271063,91582,4 8CF ELEC  RANGE
51446471,18603,89492,0,51446471,89492,MED5500FW  MAYTAG EL
51452999,18849,81223,0,51452999,81223,30IN KM GA KME S RANGE
51882021,18974,81995,0,51882021,81995,DLGX7601KE LG  LG GAS D
52505843,17487,87942,0,52505843,87942,81942 KM  KENMORE 24 IN
53048439,13598,87942,0,53048439,87942,81942 KM  KENMORE 24 IN
54703135,18111,20759,0,54703135,20759,KME DISH B KME I BLACKS
54719861,18974,91672,0,54719861,91672,5 0CF GAS  RANGE
54822923,14282,88693,0,54822923,88693,FRONT CONT ROL DUAL FUEL
55544495,16533,32183,0,55544495,32183,WRM DRW ICON
57034835,13595,80113,0,57034835,80113,36 32 KME  KME FDBM SMART
58976219,16561,71995,0,58976219,71995,DLEX7600KE LG  LG ELEC
58976705,16564,56849,0,58976705,56849,FR 36 VT H D
